subj_idx,commission_errors,commission_errors_r,omission_errors,go_accuracy,nogo_accuracy,overall_accuracy,rt_go_avg,rt_nogo_avg
285,28,28,7,96.81818181818181,49.09090909090909,87.27272727272727,288.3417840388054,263.4357142872271
286,25,31,13,93.26424870466322,37.5,83.69098712446352,251.4294444431213,232.52000000000115
287,11,45,9,95.98214285714286,80.35714285714286,92.85714285714286,357.57209303442755,319.8181818306462
288,18,38,6,97.30941704035875,67.27272727272727,91.36690647482014,314.6884792651995,286.16666666923834
289,25,31,6,97.30941704035875,55.35714285714286,88.88888888888889,349.71981557372163,324.403999916045
290,28,28,1,99.55156950672645,50,89.6057347670251,314.2499999936914,302.51071427975484
291,13,43,11,95.08928571428571,76.78571428571429,91.42857142857143,323.44741784022364,280.23846153869704
292,22,34,3,98.66071428571429,60.71428571428571,91.07142857142857,344.1606334838193,326.19999999980723
293,39,17,40,81.7351598173516,30.357142857142854,71.27272727272728,359.0927374303496,360.7307692309789
294,12,44,13,94.17040358744396,78.57142857142857,91.0394265232975,376.56999999738775,331.46666666195415
295,20,36,1,99.55357142857143,64.28571428571429,92.5,316.92563677234494,270.25800000097587
296,10,46,4,98.21428571428571,82.14285714285714,95,338.7604547097465,289.0100001621278
297,14,42,4,98.21428571428571,75,93.57142857142857,335.3090909090909,285.5
298,42,14,8,96.3963963963964,23.636363636363637,81.94945848375451,312.2065420549618,292.95714285203576
299,22,34,5,97.76785714285714,60.71428571428571,90.35714285714286,319.1036529652993,293.3954545429535
300,3,53,4,98.21428571428571,94.64285714285714,97.5,347.8996227286236,311.4733333353167
301,29,27,8,96.38009049773756,48.214285714285715,86.64259927797833,312.6394366311376,289.3310344950923
302,22,34,16,92.23300970873787,60,85.44061302681992,308.15105263459054,236.5681818215744
303,23,33,4,98.19004524886877,58.18181818181818,90.21739130434783,326.9359447005297,287.10000000004
304,27,29,22,90.09009009009009,51.78571428571429,82.37410071942446,333.08749999439635,299.20370369752294
305,9,47,3,98.66071428571429,83.92857142857143,95.71428571428572,342.2235294066303,324.59999999303386
306,11,45,4,98.21428571428571,80.35714285714286,94.64285714285714,318.04681818219785,288.181818182903
307,21,35,3,98.65470852017937,61.81818181818181,91.36690647482014,312.2163636604206,285.0285714569618
308,12,44,2,99.10714285714286,78.57142857142857,95,315.15360360392276,302.3083333337078
309,33,23,32,85.25345622119815,36.53846153846153,75.8364312267658,287.55459459684164,290.6818181844393
310,21,35,4,98.21428571428571,62.5,91.07142857142857,343.228181818165,321.8390476190342
311,17,39,1,99.55357142857143,69.64285714285714,93.57142857142857,321.61210762391875,299.79411764775733
312,33,23,13,94.19642857142857,41.07142857142857,83.57142857142857,300.52843601899536,278.76666666670513
313,14,42,4,98.21428571428571,75,93.57142857142857,314.1604545484515,292.6214285746267
314,13,43,6,97.30941704035875,76.78571428571429,93.1899641577061,327.666082908877,271.8099999669872
315,17,39,2,99.10313901345292,69.64285714285714,93.1899641577061,285.11538461668823,243.22352941176916
316,3,53,5,97.76785714285714,94.64285714285714,97.14285714285714,304.70547941221287,258.49999998411903
317,20,36,14,93.75,64.28571428571429,87.85714285714286,348.2790476645748,308.9250000476808
318,14,42,4,98.21428571428571,75,93.57142857142857,345.54681818183167,330.97142857148094
319,13,43,14,93.75,76.78571428571429,90.35714285714286,335.9995238212735,300.43846155313076
320,25,31,3,98.65470852017937,55.35714285714286,89.96415770609319,290.98318181884645,255.3080000010389
321,18,38,6,97.32142857142857,67.85714285714286,91.42857142857143,309.9536697247165,285.811111110936
322,20,36,10,95.53571428571429,64.28571428571429,89.28571428571429,367.4551401870419,318.8699999986558
323,29,27,16,92.85714285714286,48.214285714285715,83.92857142857143,303.31586536306736,264.0551723952938
324,13,43,9,95.96412556053812,76.78571428571429,92.1146953405018,359.9789719626174,341.5230769230671
325,20,36,5,97.76785714285714,64.28571428571429,91.07142857142857,351.47442922527483,320.5150000009773
326,12,44,3,98.66071428571429,78.57142857142857,94.64285714285714,329.85158371072777,311.8833333337716
327,21,35,8,96.36363636363636,61.81818181818181,89.45454545454545,311.13632075449203,277.0904761972862
328,12,44,8,96.41255605381166,78.18181818181819,92.80575539568345,344.6274418554048,289.5499999932993
329,27,29,18,91.96428571428571,51.78571428571429,83.92857142857143,351.90533981583627,302.2111111221441
330,16,40,15,91.12426035502959,58.97435897435898,85.09615384615384,321.78636364255516,285.68750000445925
331,27,29,17,91.9431279620853,50,83.39622641509435,332.0835051546391,264.399999999999
332,12,44,4,98.20627802690582,78.57142857142857,94.26523297491039,361.47488582243255,328.2666666388517
333,6,50,8,96.41255605381166,89.28571428571429,94.98207885304659,359.2070697674415,289.24666666663444
334,26,30,7,96.53465346534654,50,87.00787401574803,324.1712823740637,279.0269234363838
335,19,37,9,95.85253456221197,65.45454545454545,89.70588235294117,316.02019231815433,281.07368422245094
336,11,45,0,100,80.35714285714286,96.07142857142857,306.22633930497614,285.61818182901794
